date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-04 16:44:49,dre_daada,,3,1,7,"As a Guy, has a Lady ever slapped U before?",,,,1202267522235555855,https://twitter.com/dre_daada/status/1202267522235555855
2019-12-04 16:37:54,kenyadad12,,1,1,3,"Turley just got slapped down LMFAO",,,,1202265784195657728,https://twitter.com/kenyadad12/status/1202265784195657728
2019-12-04 12:15:04,realbishopo346,Amaka_Ekwo,0,2,3,"They (channels TV) should report it that ""Channels TV cameraman slapped a police officer barring him from taking shots"" Channels ndi ara",,,,1202199637907693571,https://twitter.com/realbishopo346/status/1202199637907693571
2019-12-04 12:13:48,mgrin_y,Peruzzi_VIBES,0,0,0,"But you purposely slapped Pamilerin @UnclePamilerin a very good lover indeed .",,@UnclePamilerin,,1202199321032220673,https://twitter.com/mgrin_y/status/1202199321032220673
2019-12-04 12:06:57,olaprinz,,70,251,451,"Lemme bring this back to the TL Local man proposes to his gf buh unfortunately got slapped What's your thought on this?! pic.twitter.com/mTvAPvjqci",,,,1202197597563367424,https://twitter.com/olaprinz/status/1202197597563367424
2019-12-04 10:35:30,ekwunife_dan,Leonard_mezu,0,0,4,"People can take individual opinion So personal in d viewing centres. Earlier this season, I closed late from work, couldn't get home to watch football, so I had to branch to a viewing centre - Chelsea v Watford. I said Abraham is better dan rashford. Man U fans almost slapped me",,,,1202174584168079360,https://twitter.com/ekwunife_dan/status/1202174584168079360
2019-12-04 10:15:09,boj_707,,0,0,1,"This decade really slapped pic.twitter.com/BQ0N4P5uEN",,,,1202169460175593472,https://twitter.com/boj_707/status/1202169460175593472
2019-12-04 08:25:15,JorjexGman,ganderqueen,0,0,0,"is this thick or....Yeh! Who slapped me?",,,,1202141806042976257,https://twitter.com/JorjexGman/status/1202141806042976257
2019-12-04 08:24:31,chrisjaguars,Elcrucifixio,0,0,0,"Is it because I use teach instead of taught that you slapped me, sorry I won't do it again. Ah! Another slap",,,,1202141617672601601,https://twitter.com/chrisjaguars/status/1202141617672601601
2019-12-04 08:19:49,chrisjaguars,Elcrucifixio,0,0,0,"Sir, their is nothing like 13th month. My teacher didn't teach that to me. He always said 12months make a year. Ah! Who slapped me?",,,,1202140436929875968,https://twitter.com/chrisjaguars/status/1202140436929875968
2019-12-04 07:56:36,doiscastro,ylrishh,1,0,1,"Nah. Y'all yak and yak about helping the 'community' and 'locals' but you can't give the actual stats? CHR slapped you guys with violations for years. Let's look at the bigger picture here. Oh wait here's a picture of the damage you did!!! @ylrishhpic.twitter.com/visTosPsbY",,@ylrishhpic,,1202134596076240896,https://twitter.com/doiscastro/status/1202134596076240896
2019-12-04 07:41:55,PearlAdedoyin,___Temilolu,1,0,0,"People that deserve to be slapped",,,,1202130897513959424,https://twitter.com/PearlAdedoyin/status/1202130897513959424
2019-12-04 07:34:23,deolaodutola,despatra,1,0,0,"it was just there tbh the songs that slapped had already been released imo",,,,1202129002842009600,https://twitter.com/deolaodutola/status/1202129002842009600
2019-12-04 07:33:46,olawoyeolamipo1,sirtee4632,1,0,1,"He slapped the evil spirit in you. Hope you're free now?",,,,1202128846616702976,https://twitter.com/olawoyeolamipo1/status/1202128846616702976
2019-12-03 22:45:18,hybee_solar,,1,0,3,"The robberies are becoming very rampant. A friend at work narrated her horror story today. She was slapped by some guys because they wanted to rob her off her phone.",,,,1201995853789040641,https://twitter.com/hybee_solar/status/1201995853789040641
2019-12-03 21:13:55,la0lu,djayyy__,0,0,1,"Even the guy that got slapped probably can't remember his name https://twitter.com/djayyy__/status/1201566002586279937 …",,,,1201972859012288512,https://twitter.com/la0lu/status/1201972859012288512
2019-12-03 20:34:40,RebelChuck,Gidi_Traffic,0,1,0,"Whoever that is outraged that isnt a vegetarian needs to be slapped. Besides, our laws don’t recognize anythting like Animal Cruelty. Bastards suffering from identity crisis https://twitter.com/Gidi_Traffic/status/1201874196026077185 …",,,,1201962981275385865,https://twitter.com/RebelChuck/status/1201962981275385865
2019-12-03 19:05:09,folacrown11,,0,0,0,"People are really rude in this Lagos sha! This is how this one almost got slapped. Idiot",,,,1201940452016099328,https://twitter.com/folacrown11/status/1201940452016099328
2019-12-03 18:42:53,nazathegeneral,,0,0,0,"that 2.00 to 2.47 of vibration would have slapped harder if that “don’t go baby, carry me dey go baby...” was still playing in the back ground",,,,1201934850019807232,https://twitter.com/nazathegeneral/status/1201934850019807232
2019-12-03 18:29:49,Gunjuzone,Tcheryph,1,0,0,"At bus stop today, two police officers hijack a NAPEP and demanded to be taken to their destination. He wasn't even going to that area. They had guns, I would have slapped them",,,,1201931559714131971,https://twitter.com/Gunjuzone/status/1201931559714131971
