date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-07-22 14:16:07,Naijapals,,0,2,3,"Unknown Gunmen Abducted Three Ladies Traveling From Lagos To Yenagoa, Bayelsa State https://www.gistmania.com/talk/topic,394576.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1153307739671560192,https://twitter.com/Naijapals/status/1153307739671560192
2019-07-21 16:12:36,Naijapals,,0,2,3,"Four Turkish Expatriates Abducted At Drinking Joint In Kwara https://www.gistmania.com/talk/topic,394533.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1152974665897242624,https://twitter.com/Naijapals/status/1152974665897242624
2019-07-14 07:47:29,MarkOtabor,SaharaReporters,2,0,3,"I will focus on the testimony of a woman who said she was abducted alongside her daughter & her husband & that they raped her all night,she said where they were taken to was like a settlement, she even said there is no way the GOVT would say they don't know where these people are",,,,1150310837061586945,https://twitter.com/MarkOtabor/status/1150310837061586945
2019-07-14 06:05:20,MarkOtabor,FeralJack_,0,1,1,"Bro I'm telling u And I have a feeling that the security operatives know where these people are, did you watch the testimony of that woman who was abducted alongside her daughter? She said their place is like a settlement, there is War within Nigeria travelling isn't safe by road",,,,1150285127064457216,https://twitter.com/MarkOtabor/status/1150285127064457216
2019-07-10 19:39:42,cypiee,,3,10,16,"Himself and about 5 others were abducted by the police a couple of minutes ago and they are at Attan Offot in Uyo right now. They are demanding 5k each from them. @segalink @AMADICHIMA @henryshield",,@segalink @AMADICHIMA @henryshield,,1149040517877051392,https://twitter.com/cypiee/status/1149040517877051392
2019-07-06 10:20:40,OyinkanSays,,0,0,0,"This was me watching abducted in plain sight. How do you let a grown, married man sleep beside your 12 year old daughter for “therapeutic” purposes 4 time a week??!!! Poor girl! Glad she’s in a good place now cause pic.twitter.com/PSaYhJDPkr",,,,1147450280612679681,https://twitter.com/OyinkanSays/status/1147450280612679681
2019-07-04 09:47:04,Naijapals,,2,4,19,"Kidnappers Abducted A Medical Doctor, Dr Bashir Zubayr's Along Lokoja-Okene Federal Highway https://www.gistmania.com/talk/topic,393125.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1146717052125634560,https://twitter.com/Naijapals/status/1146717052125634560
2019-06-26 14:24:55,official_iceg,umanms70,0,0,0,"If @SaharaReporters Had reported that 100 people were abducted by Boko Haram won't the @HQNigerianArmy Claim it false?",,@SaharaReporters @HQNigerianArmy,,1143887872312971265,https://twitter.com/official_iceg/status/1143887872312971265
2019-06-26 14:21:49,official_iceg,HQNigerianArmy,0,0,0,"100 people where abducted and no one noticed, no one cared to inform the citizens, what if they had died would you have said anything ? I can only wonder about how many were not this lucky that you guys have covered up",,,,1143887091006357505,https://twitter.com/official_iceg/status/1143887091006357505
2019-06-23 20:40:25,ebengbenro,,0,0,1,"Nigeria can't cease to amuse me. Different approaches to criminal offences. Zamfara: Police dialogues with bandits to end kidnapping. Katsina: District heads holds prayer sessions for release of abducted District head. Ondo/Ekiti: Drones deployed by army to curb armed kidnapping.",,,,1142895203449233409,https://twitter.com/ebengbenro/status/1142895203449233409
2019-06-22 07:12:08,_BoredChairman,iamiykedash,0,0,0,"Lmaoooo I had been abducted like that before. I went with Fabian and Obinna to someone's cashew plantation across the express and the owner grabbed us and removed our shirts. We looked like bandits that day.",,,,1142329404607074304,https://twitter.com/_BoredChairman/status/1142329404607074304
2019-06-19 06:37:07,Naijapals,,0,2,3,"Son of Ex Minister Of Health, Isaac Adewole Abducted in Oyo State https://www.gistmania.com/talk/topic,391788.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1141233431218515968,https://twitter.com/Naijapals/status/1141233431218515968
2019-06-14 09:19:05,Naijapals,,0,2,3,"""My Kidnappers Had 3 Laptops With Tracking Device Inside The Forest"" - Abducted Teacher Reveals https://www.gistmania.com/talk/topic,391208.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1139462253013377025,https://twitter.com/Naijapals/status/1139462253013377025
2019-06-08 15:13:02,Hojeniyi,,0,0,0,"Police in Osun rescue man abducted by kidnappers in military uniform https://www.vanguardngr.com/2019/06/police-in-osun-rescue-man-abducted-by-kidnappers-in-military-uniform/ …",,,,1137376997670367232,https://twitter.com/Hojeniyi/status/1137376997670367232
2019-06-07 17:19:24,Kaffolinho,topsyyemz,0,1,2,"A SARS team in an unidentified wine colored bus has just abducted a young man, Michael Green at U-Turn bus Stop, Abule Egba Lagos. The young man just left his work place at Meiran. Help rebroadcast please to get to the authority @segalink @DrJoeAbah @MisturBets @J_asmineA",,@segalink @DrJoeAbah @MisturBets @J_asmineA,,1137046410174586881,https://twitter.com/Kaffolinho/status/1137046410174586881
2019-05-27 22:35:59,MrStanleyNwabia,georgekodi,4,12,21,"My Mum lived in Biafra too. She hated Nigerian Soldiers, Biafran Soldiers & Niger-Deltans. Nigerian Soldiers killed everyone, Biafran Soldiers raped many, abducted kids & took land, Niger-Deltans cornered most of the food aid from Red-Cross & resold to other parts of Nigeria https://twitter.com/georgekodi/status/1133134470775738370 …",,,,1133139816793739269,https://twitter.com/MrStanleyNwabia/status/1133139816793739269
2019-05-20 10:32:51,LagosMums,,0,2,0,"Rescued boy shares his experience of being abducted to guide blind beggars. @BBCWorldhttps://www.bbc.com/news/world-africa-48219377 …",,@BBCWorldhttps,,1130421117087305728,https://twitter.com/LagosMums/status/1130421117087305728
2019-05-20 09:16:57,omoleus,,0,0,0,"The boy abducted to guide blind beggars in Nigeria https://www.bbc.com/news/amp/world-africa-48219377?__twitter_impression=true …",,,,1130402015815843841,https://twitter.com/omoleus/status/1130402015815843841
2019-05-20 07:08:49,mydeviria,mydeviria,0,7,3,"Molade Boris Oyebanji was abducted 3 weeks ago with his crew members from his vessels(MV Charis of C&I Leasing) was hijacked to attack another vessel(Blue Marlin) while the attacked is ongoing, naval security were called in via distress call to repel the attack. https://twitter.com/mydeviria/status/1130365075997503489 …",,,,1130369773223731201,https://twitter.com/mydeviria/status/1130369773223731201
2019-05-19 01:54:15,AlapoJamiu,renoomokri,0,0,0,"Daredevils will not succeed in their attempt to play religious cards. Boko Haram abducted Leah Sharibu and Saudi detained Zainab Aliyu on allegation of drug peddling and released her after investigation. Our Armed Forces are working to secure her release but not on Twitter.",,,,1129928218880946176,https://twitter.com/AlapoJamiu/status/1129928218880946176
2019-05-16 20:48:32,Naijapals,,1,2,2,"Five Oil Workers Were Abducted By Gunmen In Rivers https://www.gistmania.com/talk/topic,388743.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1129126510785286145,https://twitter.com/Naijapals/status/1129126510785286145
